Serial No,Inventory No,Inventory Type,Department,Items Name,Total Purchased,Opening Balance,Closing Balance,Total Balance,Total Issue,Total Return,Total Damage,Total Missing,Image
63,IN-Decor-001,Decor,TRAY,Copper Round Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1CmOucNiMvysJeoZq1_Hi2cmjASQdCaEo
64,IN-Decor-001,Decor,Spoons,Copper Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1NEh8JGSAyyiYwcd0-4pmkSyP6s-ZSmJ1
65,IN-Decor-001,Decor,TRAY,Copper Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1AgorTERt0IKb0UuOzYacn4l5rMAHipgZ
66,IN-Crockery-001,Crockery,American Dana,CS-021 AD,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1sUk4Um0EbpZ2YQ92iyFog7y5_NU3Uhq1
67,IN-Crockery-001,Crockery,American Dana,CS-04,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1qdXIPZf9g0QS8ESjXxveGy9i_dmskZjY
68,IN-Decor-001,Decor,Counter,CS-047,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1HaVVrTq9ElDqxs-Vz4M6XSgDcp3Ih5LL
69,IN-Decor-001,Decor,Counter,CS-048,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=146DwuOZcPEG1xuLBwFXO-9PNPL7GjFqi
70,IN-Crockery-001,Crockery,American Dana,CS-05,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=14eWcheUxKQL97qaCk8gWrOxIzbf-EPfW
71,IN-Crockery-001,Crockery,American Dana,CS-13,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1lnLULMF5w9wj3RtP6yJ9Q3tMBA8XcG-9
72,IN-Crockery-001,Crockery,American Dana,CS-22,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=18a96Wk-wzkMf0nFMrwigR3lVqD1CN39F
73,IN-Crockery-001,Crockery,American Dana,CS-43,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=17ytbkJAdFdysjgaDjWVrlkmPQMcqvxL5
74,IN-Crockery-001,Crockery,American Dana,CS-44,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1acbf7tO1MvmsotcYo3X2Paf2mHtTx8e4
75,IN-Crockery-001,Crockery,American Dana,CS-45,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1uZVlxHBf7j8Z9RWARbe7L4Kl5mlQLMrX
76,IN-Crockery-001,Crockery,American Dana,CS0-16 AD,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1dNI9_BHSh95CTtA7oP0R9KSai71eBP1H
77,IN-Crockery-001,Crockery,American Dana,CS00-33A  AD,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1sii8oNFO1DyleCbpf-pgJQ5ln3Xm7all
78,IN-Crockery-001,Crockery,American Dana,CSRP-20,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1hbpS2jKH7LjntYxp2SXMfhfz1dVIkDVk
79,IN-Crockery-001,Crockery,American Dana,CSRP-21,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ftyx0DOADsFJ16fF1B7nHC_WsfbUTjxs
80,IN-Decor-001,Decor,Lamp,Cup Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1oqlm41wqO3WV6LqkMJJ4lcm90zX8YflF
81,IN-Decor-001,Decor,Spoons,Daal Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1hb1irFz04nRuKIpAwR18ADCtMhpYQ36m
82,IN-Decor-001,Decor,Bowl,Deep Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1BUWNhWWhJSkm7NSczfwXJIJE73CFK01z
83,IN-Decor-001,Decor,Bowl,Deep Plater Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1nul0h1yZC07rhm789_oaLHo4BpayjJtz
84,IN-Disposal-001,Disposal,Dispo Cutlery,Dessert Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1NPE4TytObo1kWR0Q1vtKACYTVg0-wogp
85,IN-Crockery-001,Crockery,Dinner Set,DINNER PLATE,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1rtnFKEm1c3BY2a5HHAmsOD04UmSx7WlD
86,IN-Crockery-001,Crockery,Dinner Set,DINNER SPOON,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1kuF0Ezj8xA0E1A9y0trYy78rnhhU1EZl
87,IN-Decor-001,Decor,Bowl,Dipp Bowl Black,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1x8WoLXrHvPPD49MkIfZm6nIlJo5N9nNQ
88,IN-Decor-001,Decor,Plastic,Dispenser,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1jkopDaWdQzPcBAvIDfWJUbEV0egD0CHB
89,IN-Disposal-001,Disposal,Bamboo,Dona Pattal,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Lo0XSrYpBDWsRnrXC6iA-_sQrQt5xNEb
90,IN-Decor-001,Decor,WOODEN,Double bhatti Cover,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1sHjPumxdBVGICjsTeS1cL8TUqBhlc2Um
91,IN-Decor-001,Decor,Lamp,Elephent Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1-Vmwd_gWf4bjzAz63M0VPwZ8jOUl1qJh
92,IN-Decor-001,Decor,Counter,FA-1,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1wY04p1HknawcJC7Xx9fU-pfEzxc2kdj6
93,IN-Decor-001,Decor,Counter,FA-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Wq-mpO9-bSAusTfYbbzU1jBLEP-RavQX
94,IN-Decor-001,Decor,Counter,FA-3,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1V78PAz7plk3BYNxyVqRv_BBvM6G_J8ep
95,IN-Decor-001,Decor,Counter,FA-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1WgiolxX1ZLJlAx8IdwLNHHWnbPacPonW
96,IN-Decor-001,Decor,Counter,FB-5,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1YzidLt8vbdU8tOj7dMVaUOv4dbcS1pVb
97,IN-Decor-001,Decor,Counter,FB-6,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1IqCwUSymCkSk84yHgY6FLVDM_vS2lisS
98,IN-Decor-001,Decor,Counter,FB-7,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1O1Mp1BLDEMRZNhHN-NrYdAsAfTgwxVMr
99,IN-Decor-001,Decor,Counter,FB-8,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1yMgXLouk7XKrwl_ysftX8NGhR-k0Igcz
100,IN-Decor-001,Decor,Counter,Fl-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1aCRhlbq8I3MvM_UccBODArbTOrpJYkLE
101,IN-Decor-001,Decor,Counter,Fl-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1JwzWyTVZt6pPnhdlN3gsSVs5km0_GClv
102,IN-Decor-001,Decor,Counter,FL-6,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1mY5qbjaOdaYgX0LHkXOP7bzodAleNV5T
103,IN-Decor-001,Decor,Tong,Flate Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1rEp3BaLFE5md_2VDxyft3DTZPbLVM_Go
104,IN-Disposal-001,Disposal,Dispo Cutlery,Fruit Fork,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1UulV7IUb4sQ5F4tLBIvGIwWBnnK8iH3x
105,IN-Decor-001,Decor,Tong,Fruit Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1WHXsEw8TDio_XGYF2tTPGpNgvVXWtwKI
106,IN-Crockery-001,Crockery,Green line,Gl Big,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1xxmvbzvlzsvpy7e9qrFJoWLle0nciL6M
107,IN-Crockery-001,Crockery,Green line,Gl Cup,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1WXRsTxo3Lu_B_f1J74SN7cuPJJK-gV6M
108,IN-Crockery-001,Crockery,Green line,Gl Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1vACK3bg00a6YuyTwbK2Uv6LtOfsZS7bR
109,IN-Crockery-001,Crockery,Green line,GL-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1MR7R3Oy7OXtTdmUzeZbcLLu0ukh_F6JY
110,IN-Decor-001,Decor,Mug,Glass by rahul,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1VD8OX2x5_89gxF5M9tWAJYoL_Xd-Feu2
111,IN-Decor-001,Decor,Golden,Golden Banana Leaf,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=13MidMGqCxrnyvwM8Xmpm3LNWvcDSZfiC
112,IN-Decor-001,Decor,Bowl,Golden Big Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1QvN2B79uWAxFYnajZveLK4u7O_5-0bsa
113,IN-Decor-001,Decor,Stand,Golden Candle Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1VZZFzGaa3COuFilP29ldqQ6hGLtOgxev
114,IN-Decor-001,Decor,Bowl,Golden Deep Bowl BIG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1J5CY80P4hucpDvv3OeYHxEFG_l2daNJK
115,IN-Decor-001,Decor,Golden,Golden Jaali 2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1HaQ-hheJRdJmjUmluXnwkxkv9MIQFU0_
116,IN-Decor-001,Decor,ACRYLIC,Golden Kadhai,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1YputZe_pCZOLE_zwigJFL3oxzqqhdmAD
117,IN-Decor-001,Decor,Lamp,Golden Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1tCR14KJn1EtssftUje8x4WiOniM6xFn5
118,IN-Decor-001,Decor,Lamp,Golden Lamp-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1nxFppiU37oZ5GaAW5qIP-GlABKZqps3D
119,IN-Decor-001,Decor,Bowl,Golden New Small Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1iHDUZxfaXzGd4LaX9Ts_1ix9gFhW0V5R
120,IN-Decor-001,Decor,Pot,Golden Pot Big,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1456Zigoc2Dba8qSUeVM4DK_C25VBxnaR
121,IN-Decor-001,Decor,Pot,Golden Pot-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1dBHJC-lXfABUUBse5gKTrxPhlZlsr8ZY
122,IN-Decor-001,Decor,TRAY,Golden Silver Servise Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=13ZX14x-obc6Ph8ejzdyYGZLr6EZm5WKb
123,IN-Decor-001,Decor,Golden,Golden Small Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1TlFgyhYcGIpYQ5BEem-08CrRNt6O_vJJ
124,IN-Decor-001,Decor,Stand,Golden Tissue Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=165SFxTa2OyYKsHgXv5vp63VygGcPz_pL
